gamma,n,diversity,
070,4,0.11851966604823748,
070,6,0.11620832817975674,
080,4,0.1136387961245104,
080,6,0.10796523397237684,
090,4,0.1094102762317048,
090,6,0.10326891362605647,
099,4,0.12447135642135643,
099,6,0.10187633477633477,
